WHO report date;Total Cases, Guinea;Total Deaths, Guinea;Total Cases, Liberia;Total Deaths, Liberia;Total Cases, Sierra Leone;Total Deaths, Sierra Leone;Total Cases;Total Deaths
2015/11/18;3804;2536;10672;4808;14122;3955;28598;11299
2015/11/17;3404;2536;10672;4808;14122;3955;28598;11299
2015/11/16;3805;2536;10672;4808;14122;3955;28599;11299
2015/11/12;3805;2536;10672;4808;14122;3955;28599;11299
2015/11/10;3805;2536;10672;4808;14122;3955;28599;11299
2015/11/09;3806;2536;10672;4808;14122;3955;28600;11299
2015/11/06;3805;2536;10672;4808;14109;3955;28586;11299
2015/11/05;3805;2536;10672;4808;14104;3955;28581;11299
2015/11/03;3810;2536;10672;4808;14089;3955;28571;11299
2015/11/02;3808;2536;10672;4808;14078;3955;28558;11299
2015/10/30;3808;2536;10672;4808;14067;3955;28547;11299
2015/10/29;3808;2536;10672;4808;14066;3955;28546;11299
2015/10/27;3806;2535;10672;4808;14061;3955;28539;11298
2015/10/26;3804;2535;10672;4808;14052;3955;28528;11298
2015/10/23;3801;2535;10672;4808;14038;3955;28511;11298
2015/10/22;3801;2535;10672;4808;14031;3955;28504;11298
2015/10/20;3803;2535;10672;4808;14001;3955;28476;11298
2015/10/19;3806;2535;10672;4808;13999;3955;28513;11298
2015/10/16;3804;2535;10672;4808;13992;3955;28468;11298
2015/10/15;3802;2534;10672;4808;13992;3955;28466;11297
2015/10/13;3800;2534;10672;4808;13982;3955;28454;11297
2015/10/12;3798;2534;10672;4808;13978;3955;28448;11297
2015/10/09;3800;2534;10672;4808;13957;3955;28429;11297
2015/10/08;3799;2534;10672;4808;13956;3955;28427;11297
2015/10/07;3804;2534;10672;4808;13945;3955;28421;11297
2015/10/05;3804;2534;10672;4808;13941;3955;28417;11297
2015/10/02;3809;2533;10672;4808;13931;3955;28412;11296
2015/10/01;3808;2533;10672;4808;13928;3955;28408;11296
2015/09/29;3805;2533;10672;4808;13911;3955;28388;11296
2015/09/28;3805;2533;10672;4808;13894;3955;28371;11296
2015/09/24;3801;2533;10672;4808;13846;3955;28319;11296
2015/09/22;3800;2532;10672;4808;13823;3955;28295;11295
